record_id,author,year,title,source,database_id,reference_code
3403,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:94.,25,1ab7fb2f-a88d-47e9-a3a4-b9bb806a06fe
3404,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:74.,25,c8d9c993-3996-4a05-90c5-6d237b427ee4
3405,P.R. Johnston,1989,Lophodermium (Rhytismataceae) on Clusia,In: Sydowia 41:174.,25,249d6e59-0b9c-4401-84a1-fa0f7e0da9ae
3406,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:80.,25,12acb28d-09c2-46be-8e60-95cd8c0ca2d5
3407,F.S. Earle,1898,\N,In: Bull. Torrey bot. Club 25:365.,25,22b7c7c5-3efe-45e7-94d0-a5b477710777
3408,J. Velenovský,1934,\N,In: Monogr. Discom. Bohem. (Prague):42.,25,42d91673-96f8-4776-b950-6e2285000dc9
3409,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:87.,25,bece36d3-af9d-4102-bd74-6e2009c074fd
3410,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:88.,25,259a18e8-af09-4510-84e7-97167c732e28
3411,L.R. Tehon,1939,\N,In: Mycologia 31(6):691.,25,31bc59e7-cf23-43e9-89d2-938d72a89515
3412,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:90.,25,3cbf7519-5440-4e53-9289-d3664586b38c
3413,"P.F. Cannon, Minter",1983,\N,In: Taxon 32(4):575.,25,93666b5d-3cae-4d43-bf96-b07fea46263e
3414,J.C. Walker,1980,\N,In: Mycotaxon 11(1):46.,25,266f31b0-5fe3-47c7-bbac-95570ff8eed1
3415,"Minter, Hettige",1983,\N,In: N.Z. Jl Bot. 21(1):39.,25,b49773a5-9e40-4f15-95a7-41f40b268454
3416,"Minter, M.P. Sharma",1982,\N,In: Mycologia 74(5):705.,25,87ddc990-cefe-460c-b172-bf7b0ef7b240
3417,"Minter, M.P. Sharma",1982,\N,In: Mycologia 74(5):702.,25,5db55552-9764-42ab-82a9-6f9cfafec2fc
3418,D.W. Minter,1980,\N,In: Can. J. Bot. 58(8):908.,25,34238a5c-dd8e-468e-90ed-ac49e438f33d
3419,D.W. Minter,1981,\N,In: Mycol. Pap. 147:27.,25,6a8d810a-adae-42bc-bedc-bee316b0a568
3420,D.W. Minter,1981,\N,In: Mycol. Pap. 147:40.,25,6e8235b9-12b1-43c1-a7c0-0000a7c6d94f
3421,D.W. Minter,1981,\N,In: Mycol. Pap. 147:34.,25,f84781de-106b-4e51-8781-d7bc2d8189e7
3422,"Vestergren, J.T. C",1897,\N,In: Öfvers. Finska Vetensk.-Soc. Förh. 54(no. 1):45.,25,3446efad-3e57-41a3-a32d-08b89217362b
3423,L.R. Tehon,1937,\N,In: Mycologia 29(4):446.,25,9e369490-3529-4f1e-b9f1-73eddf202b2c
3424,"Zhang, Minter, Li, Lin",2015,\N,In: Mycotaxon 129(2):284.,25,0d1288b2-2004-4cb0-aaa3-085dfc69c33d
3425,L.E. Wehmeyer,1946,\N,In: Mycologia 38(3):314.,25,00a09d9d-b6c4-4909-ac47-5899c62681d8
3426,C.G. Hansford,1947,\N,In: Proc. Linn. Soc. London 158(1):47.,25,cc11ac04-861f-4937-80f0-7f77a264561d
3427,Dearn. & House,1940,\N,In: Circ. N.Y. St. Mus. 24:52.,25,9e49ee34-d71c-4dad-bd13-b647c2ba7737
3428,F. Petrak,1934,\N,In: Hedwigia 74:62.,25,a5e9cde0-679b-495b-9b9f-eb09b5fbb71f
3429,"Arx, J.A. von",1957,\N,"In: Verh. K. ned. Akad. Wet., tweede sect. 51(3):121.",25,a2c85616-e9b5-47a4-a769-329b85832b0e
3430,"Rupprecht, H. von",1958,\N,In: Sydowia 11:427.,25,952e90a0-1152-4a06-8b4d-41ecfd0f90a2
3431,"Maki, Katsuki",1944,\N,In: Bulletin Fukuoka prefect. Govt. 73:18.,25,9d50212e-bc10-4999-aea1-b6833cbff17d
3432,B.I. Kravtzev,1960,\N,In: Trudy Inst. Bot. Akad. nauk Kazakh SSR 9:16.,25,81a86652-a808-4f3f-bd49-f3d062350735
